Instance	BKS	LB	opt/bks
P13110_101.txt	7489	7489	optimal
P13110_102.txt	5463	5463	optimal
P13110_151.txt	7550	7550	optimal
P13110_152.txt	5491	5491	optimal
P13110_51.txt	7410	7410	optimal
P13110_52.txt	5463	5463	optimal
P122200_101.txt	6315	6315	optimal
P122200_102.txt	5849	5849	optimal
P122200_151.txt	6461	6461	optimal
P122200_152.txt	5874	5874	optimal
P122200_51.txt	6264	6264	optimal
P122200_52.txt	5849	5849	optimal
P012200_101.txt	12935	12935	optimal
P012200_102.txt	12643	12643	optimal
P012200_151.txt	13167	13167	optimal
P012200_152.txt	12859	12859	optimal
P012200_51.txt	12294	12294	optimal
P012200_52.txt	11802	11802	optimal
P1118_101.txt	10395	10395	optimal
P1118_102.txt	10900	10900	optimal
P1118_151.txt	10629	10629	optimal
P1118_152.txt	11411	11411	optimal
P1118_51.txt	9760	9760	optimal
P1118_52.txt	10168	10168	optimal
H5-l5-c4-ar13-P1_101.txt	17068	17068	optimal
H5-l5-c4-ar13-P1_102.txt	21791	21791	optimal
H5-l5-c4-ar13-P1_151.txt	17541	17541	optimal
H5-l5-c4-ar13-P1_152.txt	21834	21834	optimal
H5-l5-c4-ar13-P1_51.txt	16119	16119	optimal
H5-l5-c4-ar13-P1_52.txt	21093	21093	optimal
P1015_101.txt	13692	13692	optimal
P1015_102.txt	14874	14874	optimal
P1015_151.txt	13830	13830	optimal
P1015_152.txt	15458	15458	optimal
P1015_51.txt	12584	12584	optimal
P1015_52.txt	14171	14171	optimal
P022200_101.txt	12785	12785	optimal
P022200_102.txt	16869	16869	optimal
P022200_151.txt	13082	11967	bks
P022200_152.txt	17171	16609	bks
P022200_51.txt	11781	11781	optimal
P022200_52.txt	16348	16348	optimal
H5-l6-c5-ar13-P1_101.txt	24124	22513	bks
H5-l6-c5-ar13-P1_102.txt	29173	27667	bks
H5-l6-c5-ar13-P1_151.txt	23932	21596	bks
H5-l6-c5-ar13-P1_152.txt	29082	26708	bks
H5-l6-c5-ar13-P1_51.txt	22833	22833	optimal
H5-l6-c5-ar13-P1_52.txt	28090	28090	optimal
P0918_101.txt	18753	16961	bks
P0918_102.txt	22277	22277	optimal
P0918_151.txt	18869	17051	bks
P0918_152.txt	22497	21366	bks
P0918_51.txt	17624	16863	bks
P0918_52.txt	22144	21120	bks
P1818_101.txt	27508	24185	bks
P1818_102.txt	34836	30446	bks
P1818_151.txt	27455	23969	bks
P1818_152.txt	35131	30098	bks
P1818_51.txt	26809	24566	bks
P1818_52.txt	33325	31173	bks
H5-l5-c4-ar26-P1_101.txt	25840	23534	bks
H5-l5-c4-ar26-P1_102.txt	29578	26685	bks
H5-l5-c4-ar26-P1_151.txt	26047	23210	bks
H5-l5-c4-ar26-P1_152.txt	29864	26618	bks
H5-l5-c4-ar26-P1_51.txt	25415	23748	bks
H5-l5-c4-ar26-P1_52.txt	28541	26906	bks
P172100_101.txt	26043	22741	bks
P172100_102.txt	29322	26787	bks
P172100_151.txt	25941	22655	bks
P172100_152.txt	29757	26947	bks
P172100_51.txt	24995	22763	bks
P172100_52.txt	28828	26816	bks
P1518_101.txt	32137	28718	bks
P1518_102.txt	36630	31989	bks
P1518_151.txt	33340	28412	bks
P1518_152.txt	36871	32007	bks
P1518_51.txt	32029	28535	bks
P1518_52.txt	35439	32114	bks
P062500_101.txt	27450	24176	bks
P062500_102.txt	29624	26454	bks
P062500_151.txt	27326	23989	bks
P062500_152.txt	29995	26375	bks
P062500_51.txt	26651	24199	bks
P062500_52.txt	28822	26568	bks
P0418_101.txt	28254	25155	bks
P0418_102.txt	36463	32092	bks
P0418_151.txt	28345	24964	bks
P0418_152.txt	37171	31603	bks
P0418_51.txt	28098	25129	bks
P0418_52.txt	35855	31760	bks
H5-l7-c7-ar13-P1_101.txt	38293	31214	bks
H5-l7-c7-ar13-P1_102.txt	42420	33819	bks
H5-l7-c7-ar13-P1_151.txt	38654	31079	bks
H5-l7-c7-ar13-P1_152.txt	43168	33905	bks
H5-l7-c7-ar13-P1_51.txt	37237	32023	bks
H5-l7-c7-ar13-P1_52.txt	40464	34430	bks
P082200_101.txt	27307	23486	bks
P082200_102.txt	32196	28586	bks
P082200_151.txt	27155	23309	bks
P082200_152.txt	32790	28240	bks
P082200_51.txt	26640	23579	bks
P082200_52.txt	31830	28636	bks
H5-l5-c4-ar39-P1_101.txt	34063	28472	bks
